"Chr"	"Start"	"End"	"Conc"	"Conc_virus"	"Conc_mock"	"Fold"	"p-value"	"FDR"
"2789"	"chr1"	169105946	169106467	4.34	5.2	1.94	3.26	9.53e-13	3.1e-08
"11301"	"chr14"	54509555	54510227	5.53	6.21	4.16	2.06	1.54e-12	3.1e-08
"18461"	"chr19"	14471984	14472693	6.67	6.98	6.27	0.71	3.35e-12	4.5e-08
"31254"	"chr5"	177491215	177491962	6.5	6.95	5.86	1.09	4.38e-11	4.41e-07
"3655"	"chr1"	226407941	226408337	6.11	6.6	5.36	1.24	1.78e-10	1.43e-06
"7189"	"chr11"	78046227	78046717	6.61	6.98	6.1	0.87	6.75e-10	4.52e-06
"31232"	"chr5"	177022681	177023017	4.93	5.7	3.16	2.54	1.02e-09	5.85e-06
"35880"	"chr8"	21812259	21812535	5.17	5.8	4.04	1.76	1.7e-09	8.55e-06
"31870"	"chr6"	31580616	31581308	6.59	6.97	6.09	0.88	2.6e-09	1.06e-05
"290"	"chr1"	9494994	9495585	6.17	6.61	5.54	1.06	2.63e-09	1.06e-05
"19288"	"chr19"	48390606	48390908	5.34	5.89	4.45	1.43	3.03e-09	1.11e-05
"7985"	"chr12"	546894	547370	6.32	6.71	5.77	0.94	3.82e-09	1.28e-05
"31664"	"chr6"	22828518	22828823	4.89	5.52	3.76	1.75	5.48e-09	1.62e-05
"20377"	"chr2"	64049716	64050014	4.52	3.3	5.18	-1.87	5.62e-09	1.62e-05
"23410"	"chr20"	47196219	47196710	6.25	6.61	5.76	0.85	8.86e-09	2.31e-05
"920"	"chr1"	32205388	32205597	3.26	4.08	1.17	2.91	9.17e-09	2.31e-05
"32743"	"chr6"	106360055	106360894	6.55	6.95	6	0.96	1.12e-08	2.64e-05
"8048"	"chr12"	3300391	3300960	6.57	6.94	6.06	0.88	1.45e-08	3.05e-05
"30638"	"chr5"	140113744	140114202	4.31	4.95	3.15	1.8	1.49e-08	3.05e-05
"24814"	"chr22"	38868655	38869379	6.1	6.5	5.54	0.96	1.52e-08	3.05e-05
"31144"	"chr5"	172771937	172772430	5.55	6.02	4.84	1.18	1.77e-08	3.39e-05
"5384"	"chr10"	104291192	104291794	7.1	7.32	6.83	0.48	1.95e-08	3.58e-05
"2779"	"chr1"	168178742	168179245	5.06	5.67	4.01	1.66	2.07e-08	3.62e-05
"16814"	"chr17"	76460576	76460855	4.44	2.91	5.16	-2.25	2.74e-08	4.59e-05
"30944"	"chr5"	153629185	153629439	3.7	1.75	4.5	-2.75	3.04e-08	4.9e-05
"6953"	"chr11"	68950323	68950611	3	1.22	3.77	-2.56	3.19e-08	4.94e-05
"5090"	"chr10"	92839179	92839497	3.77	4.51	2.2	2.31	3.42e-08	5.1e-05
"15787"	"chr17"	36534225	36534890	5.21	5.8	4.21	1.59	3.96e-08	5.69e-05
"1121"	"chr1"	41361100	41361391	3.86	4.54	2.52	2.02	4.19e-08	5.82e-05
"5390"	"chr10"	104353545	104353886	5.05	5.67	3.95	1.71	4.56e-08	6.12e-05
"15314"	"chr17"	8745904	8746526	6.34	6.68	5.88	0.81	5.45e-08	6.86e-05
"6986"	"chr11"	69918721	69919445	6.25	6.63	5.75	0.87	5.46e-08	6.86e-05
"4833"	"chr10"	75111300	75111695	3.83	4.55	2.34	2.21	6.82e-08	8.32e-05
"37299"	"chr8"	144508456	144508979	5.91	6.34	5.3	1.03	7.16e-08	8.48e-05
"7884"	"chr11"	129750685	129751271	6.72	7.05	6.28	0.77	7.77e-08	8.94e-05
"7675"	"chr11"	119479719	119480039	4.72	3.63	5.33	-1.7	8.56e-08	9.32e-05
"12133"	"chr14"	106308835	106309344	4.78	5.45	3.49	1.96	8.57e-08	9.32e-05
"11556"	"chr14"	69726795	69727567	6.57	6.88	6.16	0.72	9.59e-08	0.000102
"22407"	"chr2"	231612528	231612889	6.45	6.9	5.77	1.14	1.07e-07	0.00011
"15932"	"chr17"	40560294	40560636	6.56	6.81	6.25	0.56	1.2e-07	0.00012
"12008"	"chr14"	102516717	102517329	6	6.45	5.36	1.08	1.24e-07	0.000122
"19322"	"chr19"	49056093	49056612	4.14	4.75	3.08	1.66	1.51e-07	0.000145
"19475"	"chr19"	53365444	53365787	4.04	4.68	2.85	1.83	1.62e-07	0.000151
"39013"	"chr9"	137423189	137423713	5.87	6.33	5.18	1.15	1.71e-07	0.000156
"34643"	"chr7"	90595817	90596422	5.58	6.08	4.8	1.28	1.74e-07	0.000156
"32832"	"chr6"	112043048	112043374	6.37	6.73	5.88	0.84	1.78e-07	0.000156
"19961"	"chr2"	27086200	27086816	6.07	6.48	5.49	1	1.99e-07	0.000171
"10110"	"chr13"	27953880	27954285	5.79	6.23	5.15	1.08	2.07e-07	0.000173
"33296"	"chr6"	149546032	149546512	5.91	6.42	5.13	1.29	2.11e-07	0.000173
"2516"	"chr1"	156193927	156194181	4.25	4.92	2.99	1.93	2.16e-07	0.000174
"16837"	"chr17"	77056185	77056798	6.55	6.8	6.25	0.55	2.74e-07	0.000216
"25652"	"chr3"	45656816	45657129	5.86	6.26	5.29	0.96	2.8e-07	0.000216
"24090"	"chr21"	39313825	39314089	3.78	4.43	2.57	1.87	2.85e-07	0.000216
"16686"	"chr17"	73232234	73232482	3.11	3.82	1.63	2.19	2.93e-07	0.000218
"9615"	"chr12"	111405321	111405637	4.94	5.44	4.17	1.27	3.26e-07	0.000238
"19124"	"chr19"	45178213	45178527	4.16	4.86	2.75	2.11	3.43e-07	0.000246
"22602"	"chr2"	240438303	240438887	6.25	6.59	5.81	0.78	3.69e-07	0.000261
"23173"	"chr20"	36202571	36203338	6.8	7.14	6.37	0.77	3.76e-07	0.000261
"9926"	"chr12"	130818898	130819443	5.98	6.44	5.31	1.13	4.99e-07	0.00034
"7631"	"chr11"	118678932	118679224	3.12	1.42	3.87	-2.46	5.24e-07	0.000352
"34689"	"chr7"	94395489	94395790	4.97	5.47	4.19	1.28	5.74e-07	0.000373
"11939"	"chr14"	99682489	99683237	6.46	6.83	5.95	0.88	5.74e-07	0.000373
"3167"	"chr1"	201704224	201704602	6.16	6.5	5.71	0.79	7.11e-07	0.000454
"32257"	"chr6"	46490637	46491269	4.27	4.85	3.28	1.56	8.22e-07	0.000517
"24421"	"chr22"	22692722	22693099	5.03	5.63	3.98	1.65	8.88e-07	0.00055
"24709"	"chr22"	36065857	36066510	7.46	7.73	7.13	0.6	9.21e-07	0.000562
"13653"	"chr16"	1413631	1414119	5.45	5.96	4.65	1.31	9.38e-07	0.000564
"35912"	"chr8"	22595158	22595805	6.46	6.77	6.08	0.68	1.03e-06	0.000601
"20147"	"chr2"	42827579	42827979	6.25	6.65	5.71	0.94	1.03e-06	0.000601
"20660"	"chr2"	85420508	85421019	6.8	7.14	6.37	0.76	1.05e-06	0.000601
"19292"	"chr19"	48445270	48445703	4.81	3.88	5.37	-1.49	1.09e-06	0.000617
"32525"	"chr6"	79586614	79586887	3.23	1.59	3.98	-2.39	1.13e-06	0.00063
"29116"	"chr4"	169774848	169775178	4.06	4.71	2.84	1.87	1.33e-06	0.000734
"22731"	"chr20"	3710770	3711418	6.27	6.59	5.86	0.73	1.35e-06	0.000734
"8263"	"chr12"	12986100	12986343	3.58	2.35	4.23	-1.88	1.39e-06	0.000744
"14424"	"chr16"	57757146	57757751	6.41	6.76	5.96	0.8	1.41e-06	0.000745
"6966"	"chr11"	69444418	69444726	4.9	5.49	3.9	1.59	1.48e-06	0.000776
"13876"	"chr16"	11916159	11916416	2.46	3.24	0.63	2.61	1.57e-06	0.000783
"28417"	"chr4"	93788786	93789087	2.83	1.54	3.49	-1.95	1.57e-06	0.000783
"26353"	"chr3"	112304673	112304894	2.47	0.99	3.18	-2.2	1.57e-06	0.000783
"19281"	"chr19"	48290459	48290733	4.17	4.78	3.11	1.67	1.58e-06	0.000783
"2350"	"chr1"	151281146	151281452	2.97	3.78	0.99	2.78	1.6e-06	0.000785
"783"	"chr1"	27395294	27395918	6.22	6.54	5.79	0.75	1.7e-06	0.000821
"9858"	"chr12"	123972761	123973077	3.97	4.58	2.88	1.7	1.71e-06	0.000821
"4902"	"chr10"	79400505	79400848	5.52	5.98	4.84	1.14	1.75e-06	0.00083
"5369"	"chr10"	103847914	103848211	3.03	1.7	3.71	-2	1.83e-06	0.000857
"25262"	"chr3"	13479991	13480285	2.65	3.46	0.63	2.83	1.93e-06	0.000894
"33181"	"chr6"	138692052	138692884	6.09	6.43	5.63	0.8	2.03e-06	0.000928
"6743"	"chr11"	64225713	64225984	3.3	4	1.87	2.12	2.33e-06	0.00105
"18139"	"chr19"	6280090	6280418	5.83	6.26	5.21	1.06	2.42e-06	0.00108
"25737"	"chr3"	49170910	49171356	6.4	6.73	5.97	0.76	2.69e-06	0.00119
"32144"	"chr6"	41735340	41735798	6.39	6.77	5.88	0.89	2.75e-06	0.0012
"15475"	"chr17"	18183455	18183735	4.3	4.85	3.4	1.45	2.82e-06	0.00122
"15041"	"chr16"	90019485	90019889	5.39	5.89	4.63	1.26	2.86e-06	0.00123
"16473"	"chr17"	61399319	61399808	2.73	3.44	1.3	2.14	3.03e-06	0.00128
"19726"	"chr2"	10188242	10188543	3.94	2.65	4.61	-1.96	3.04e-06	0.00128
"11295"	"chr14"	54396646	54396908	3.88	4.52	2.69	1.83	3.08e-06	0.00128
"232"	"chr1"	7755527	7755765	3.24	1.42	4.01	-2.6	3.16e-06	0.0013
"23472"	"chr20"	50190286	50190586	5.38	5.8	4.77	1.03	3.31e-06	0.00134
"35934"	"chr8"	23019237	23019801	6.72	7.04	6.32	0.73	3.33e-06	0.00134
"27446"	"chr3"	195915052	195915422	6.01	6.43	5.43	1	3.38e-06	0.00135
"35259"	"chr7"	134724661	134724943	3.75	2.17	4.48	-2.31	3.42e-06	0.00135
"10445"	"chr13"	59262202	59262459	2.44	0.99	3.15	-2.16	3.55e-06	0.00139
"8817"	"chr12"	53321507	53321974	6.5	6.85	6.02	0.83	3.67e-06	0.00141
"16179"	"chr17"	47844767	47845364	3.43	1.98	4.13	-2.15	3.68e-06	0.00141
"25285"	"chr3"	14468124	14468582	5.83	6.26	5.21	1.05	3.73e-06	0.00141
"22183"	"chr2"	217788833	217789623	6.92	7.26	6.47	0.79	3.74e-06	0.00141
"8604"	"chr12"	47802205	47802575	2.86	1.35	3.58	-2.23	3.81e-06	0.00142
"18046"	"chr19"	4204634	4205074	5.34	5.8	4.64	1.16	4.06e-06	0.00148
"13762"	"chr16"	4253956	4254465	7.01	7.21	6.77	0.45	4.13e-06	0.00148
"20425"	"chr2"	67234501	67234792	3.69	2.13	4.42	-2.29	4.15e-06	0.00148
"2895"	"chr1"	177913754	177914032	4.18	3.16	4.78	-1.62	4.16e-06	0.00148
"24811"	"chr22"	38824616	38824931	3.96	2.91	4.56	-1.65	4.17e-06	0.00148
"32217"	"chr6"	44099930	44100419	4.59	3.81	5.1	-1.29	4.21e-06	0.00148
"38735"	"chr9"	128863563	128864103	6.23	6.62	5.69	0.92	4.43e-06	0.00154
"7264"	"chr11"	86360651	86361072	3.3	2.3	3.89	-1.59	4.45e-06	0.00154
"25098"	"chr22_KI270733v1_random"	120990	125389	2.31	3.1	0.44	2.66	4.53e-06	0.00156
"19001"	"chr19"	42132875	42133457	6.28	6.64	5.81	0.83	4.56e-06	0.00156
"22451"	"chr2"	232605844	232606639	6.59	6.9	6.19	0.71	4.71e-06	0.00158
"23237"	"chr20"	38435273	38435698	6.56	6.85	6.19	0.66	4.71e-06	0.00158
"15912"	"chr17"	40219093	40219438	5.14	5.74	4.1	1.63	4.77e-06	0.00159
"13082"	"chr15"	75508981	75509240	3.33	2.36	3.91	-1.55	5.43e-06	0.00179
"36245"	"chr8"	48674155	48674522	3.08	1.99	3.7	-1.7	5.61e-06	0.00183
"1930"	"chr1"	109283271	109283620	3.75	2.38	4.44	-2.06	5.73e-06	0.00186
"13265"	"chr15"	82540364	82540768	6.22	6.6	5.71	0.88	5.83e-06	0.00188
"4128"	"chr10"	17230452	17231000	4.49	5.04	3.58	1.46	5.94e-06	0.0019
"6849"	"chr11"	66222423	66223033	7.27	7.58	6.86	0.72	6.05e-06	0.00192
"1912"	"chr1"	108570226	108570441	2.29	0.99	2.97	-1.98	6.31e-06	0.00199
"16294"	"chr17"	50200367	50201053	6.75	7.14	6.2	0.94	6.4e-06	0.002
"34342"	"chr7"	55271120	55271408	3.63	2.47	4.26	-1.79	6.61e-06	0.00204
"12069"	"chr14"	104723368	104724090	6.37	6.7	5.93	0.76	6.83e-06	0.0021
"33186"	"chr6"	138988211	138988680	6.29	6.72	5.68	1.04	7.02e-06	0.00213
"3589"	"chr1"	223123754	223124298	5.85	6.27	5.26	1.01	7.04e-06	0.00213
"16938"	"chr17"	80124342	80124754	3.13	1.53	3.86	-2.33	7.16e-06	0.00214
"3273"	"chr1"	204806975	204807744	7.31	7.5	7.1	0.39	7.18e-06	0.00214
"38536"	"chr9"	121201955	121202291	4.58	5.21	3.41	1.8	7.37e-06	0.00218
"39844"	"chrX"	109889774	109889996	2.41	1.07	3.09	-2.02	7.65e-06	0.00225
"9970"	"chr12"	133181245	133181562	5.71	6.11	5.17	0.94	7.97e-06	0.00233
"16604"	"chr17"	67378131	67379067	6.35	6.74	5.8	0.94	8.22e-06	0.00238
"30833"	"chr5"	149141282	149141722	6.31	6.74	5.68	1.06	8.28e-06	0.00238
"2807"	"chr1"	170664935	170665220	2.91	1.75	3.54	-1.79	8.65e-06	0.00247
"7612"	"chr11"	117817643	117818346	6.69	6.99	6.31	0.68	9.01e-06	0.00255
"21865"	"chr2"	190122061	190122269	2.4	0.99	3.1	-2.11	9.24e-06	0.0026
